model,prompt_id,story_id,user_story,plantuml
llama3.1:8b,1,16,"As a cook, I want to have employee data on the system including clock in and out information.","```plantuml
@startuml
participant Cook
participant ClockInSystem
participant Database

Cook->>ClockInSystem: Get Employee Data
alt Employee exists in database
  ClockInSystem-->Database: Get employee data from database
  alt Employee clocked out before
    Database-->ClockInSystem: Return clock-out status
    ClockInSystem-->>Cook: Display clock-in information to Cook
  else
    ClockInSystem-->Database: Update clock-in status in database
    Database-->ClockInSystem: Save new clock-in data
    ClockInSystem-->>Cook: Display clock-in confirmation message to Cook
  end
else
  ClockInSystem-->>Cook: Display employee not found error to Cook
endif

alt Employee wants to clock out
  Cook->>ClockInSystem: Get Clock-Out Button
  alt Employee is still on clocked in status
    ClockInSystem-->Database: Update clock-out status in database
    Database-->ClockInSystem: Save new clock-out data
    ClockInSystem-->>Cook: Display clock-out confirmation message to Cook
  else
    ClockInSystem-->>Cook: Display already clocked out error to Cook
  end

end
@enduml
```

This sequence diagram illustrates the interactions between the cook, the clock-in system, and the database when an employee wants to clock in or out. The diagram covers two main use cases:

1.  **Clocking In:** When a cook tries to get employee data from the clock-in system.
2.  **Clocking Out:** When an employee wants to clock out.

The PlantUML code is written in a way that it's easy to follow and understand, with clear labels and arrows illustrating the flow of interactions between participants."
llama3.1:8b,1,17,"As a cook, I want to have employee data on the system including clock in and out information.","```plantuml
@startsequence
participant Cook as C
participant System as S

C->S: Clock in
activate S

S->>C: Employee data loaded (e.g., John Smith)
S->>C: Time recorded (e.g., 08:00)

C->S: Request employee data update
S->>C: Update employee data (e.g., updated location, shift change)

deactivate S

@endsequence
```"
llama3.1:8b,1,18,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","```
@startuml
participant Plan Review Staff
participant Applicant
participant System

note right of Plan Review Staff
Plan Review Staff reviews plan for compliance
end note

Plan Review Staff->>Applicant: Send plan for review
Applicant->>System: Receive plan
System->>Plan Review Staff: Display plan for review
Plan Review Staff->>Applicant: Request conditions, clearances, or corrections
Applicant->>System: Provide conditions, clearances, or corrections
System->>Plan Review Staff: Update plan with provided information

alt Plan meets requirements
  Plan Review Staff->>Applicant: Approve plan
else
  Plan Review Staff->>Applicant: Fail/deny plan
end

@enduml
```"
llama3.1:8b,1,19,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","```plantuml
@startuml
participant PlanReviewStaff as ""Plan Review Staff""
participant Applicant as ""Applicant""

note left: User Story
  As a Plan Review Staff member, I want to review plans so that I can 
  review them for compliance and either approve or fail or deny the plans 
  and record any conditions, clearances or corrections needed from the Applicant.

PlanReviewStaff->>Applicant: Receive Plans
Applicant->>PlanReviewStaff: Submit Plans
PlanReviewStaff->>Applicant: Review Plans for Compliance
alt Compliant
  PlanReviewStaff->>Applicant: Approve Plans
else Non-Compliant
  PlanReviewStaff->>Applicant: Deny Plans
  PlanReviewStaff->>Applicant: Record Conditions, Clearances or Corrections Needed
endif

@enduml
```"
llama3.1:8b,1,20,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","```plantuml
@startuml
title Previous Names and Publication Date Range of Reports/Datasets

participant Patron as P
participant DatasetAPI as API

P->>API: Get previous names and publication date range of reports/datasets
API-->P: {
  ""previous_names"": [""Name1"", ""Name2""],
  ""publication_date_range"": {
    ""first_version"": ""2020-01-01"",
    ""last_version"": ""2022-12-31""
  }
}
@enduml
```"
llama3.1:8b,1,21,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","```plantuml
@startsequence
title Previous Name and Publication Date Range of Reports/Datasets

participant Patron as ""User""
participant API as ""Data Service""

Patron->>API: Get previous name(s) and publication date range of reports/datasets
API-->Patron: Response with historical versions and current version information
@endsequence
```

This will produce a sequence diagram where the patron requests data from an API, which then responds with the required information."
llama3.1:8b,1,22,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","```plantuml
@startuml
participant User
participant SearchService

User->SearchService: Search for collections/objects/components with language filter
alt Language is set
    SearchService-->>User: Collections/Objects/Components in [Language] only
else Language is not set
    SearchService-->>User: All collections/objects/components available
endif
@enduml
```"
llama3.1:8b,1,23,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","```plantuml
@startuml
participant User as ""You""
participant SearchService

User->>SearchService: search in English
alt Language set to French
    User->>SearchService: search in French
else 
    User->>SearchService: search without language filter (default)
end

Note on top: Filter searches by language

SearchService-->>User: search results
@enduml
```"
llama3.1:8b,1,24,"As a MedicalCaregiver, I want to locate the ALFRED user.","```plantuml
@startuml
participant MedicalCaregiver
participant System

MedicalCaregiver->System: Locate ALFRED User
System-->MedicalCaregiver: Return Location of ALFRED User
@enduml
```

This PlantUML code represents a sequence diagram where the MedicalCaregiver is interacting with the System to locate the ALFRED user. The `participant` keyword is used to specify the involved parties, and the arrows represent the interactions between them."
llama3.1:8b,1,25,"As a MedicalCaregiver, I want to locate the ALFRED user.","```plantuml
@startuml
participant User as ""MedicalCaregiver""
participant Database as ""Database""
participant Locator as ""ALFRED Locator""

User->Locator: Locate Alfred in database
Locator->Database: Query database for ALFRED user
Database-->Locator: Return valid ALFRED user data

Locator->User: Display location of ALFRED user to MedicalCaregiver
@enduml
```"
llama3.1:8b,1,26,"As a library staff member, I want to be able to assign an item to more than one collection.","```plantuml
@startuml
participant LibraryStaffMember as LSM
participant Database as DB

LSM ->> DB: Get existing collections
alt Collection not found
DB-->>LSM: None
else 
DB-->>LSM: List of collections
end

LSM->>DB : Assign item to multiple collections
DB-->>LSM: Confirmation that item has been assigned to all selected collections

@enduml
```
Note: This sequence diagram assumes a simple database system where the library staff member can query and assign items to existing collections."
llama3.1:8b,1,27,"As a library staff member, I want to be able to assign an item to more than one collection.","```plantuml
@startuml
participant LibraryStaff as Staff
participant LibraryItem as Item
participant CollectionManager as Manager

Staff->>Manager: Assign Item to Collection
alt Is Item already assigned?
    Manager->>Staff: Yes, cannot reassign.
else 
    Manager->>Manager: Update collection associations for Item
    Manager->>Manager: Add new association (for duplicate assignment)
endif
@enduml
```"
llama3.1:8b,1,28,"As a repository manager, I want to indicate any name that is pertinent to the component.","```plantuml
@startuml
participant RepositoryManager as RM
participant Component as C

RM->>C: Indicate relevant names in the component.
note right of C: Valid pertinant name example: ""Component-Name""
@enduml
```

This PlantUML code will generate a simple sequence diagram that shows a repository manager interacting with a component. The note is used to highlight an example of a valid pertinent name, which could be any string related to the component's identity or purpose."
llama3.1:8b,1,29,"As a repository manager, I want to indicate any name that is pertinent to the component.","```
@startuml
participant RepositoryManager as RM
participant Component

RM->>Component: Check name for pertinence
alt Pertinent name
    RM->>Component: Indicate name as pertinent
else Not pertinent name
    RM->>Component: Do nothing
end
    
@enduml
```"
llama3.1:8b,1,30,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","```plantuml
@startuml
participant Library as L
participant User as U
participant BookDB as B

U->>L: Search book by title
activate L
L-->B: Request book data from database
activate B
B-->L: Return book data
deactivate B
L-->>U: Show book details (title, author, status)
if book is available in library then
    alt Book is available
        L-->>U: Display ""Available""
    end
else
    alt Book is taken
        L-->>U: Display ""Taken by <name>""
    end
end

deactivate L
@enduml
```"
llama3.1:8b,1,31,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","```plantuml
@startuml
participant LibraryMember as ""You""
participant LibraryApp
participant LibraryServer

You->>LibraryApp: Open app and login
note right of LibraryApp
Verify credentials and grant access
end note

LibraryApp->>LibraryServer: Check book availability
LibraryServer-->LibraryApp: Book available in library or taken by other member

LibraryMember->>LibraryApp: Search for specific book
LibraryApp->>LibraryServer: Retrieve book details from server

LibraryServer-->LibraryApp: Return book information (title, author, status)

LibraryApp->>LibraryMember: Display search results to user

alt Book is available in library
    LibraryMember->>LibraryApp: Request to borrow the book
    LibraryApp->>LibraryServer: Update book status as borrowed
end
    
alt Book is taken by other member
    LibraryMember->>LibraryApp: Receive notification that book is not available
end
    
@enduml
```"
llama3.1:8b,1,32,"As a restaurant employee, I want to receive a notification message when the customer places an order.","```plantuml
@startuml
participant RestaurantEmployee as ""You""
participant NotificationService
participant OrderSystem

RestaurantEmployee->OrderSystem: Place Order
activate OrderSystem
OrderSystem->NotificationService: Send Order Placed
activate NotificationService
NotificationService->RestaurantEmployee: Send Notification
deactivate NotificationService
deactivate OrderSystem
@enduml
```"
llama3.1:8b,1,33,"As a restaurant employee, I want to receive a notification message when the customer places an order.","```plantuml
@startuml
participant Customer as (C)
participant RestaurantEmployee as (E)
participant OrderService as (OS)

note right of OS
Order received from Customer
@endnote
C->>OS: Place order
activate OS
OS-->E: Notification message
deactivate OS
@enduml
```"
llama3.1:8b,1,34,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","```plantuml
@startuml
participant Student as ""You""
participant LibrarySystem

Student->>LibrarySystem: Get unavailable books
alt Unavailable books found
  LibrarySystem->>Student: List of unavailable book titles
else No available books
  LibrarySystem->>Student: No books are currently unavailable.
endif
@enduml
```"
llama3.1:8b,1,35,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","```
@startuml
participant Student as S
participant LibrarySystem as LS

S->LS: get unavailable books
alt unavailable books exist
    LS->>S: show list of unavailable books
else 
    LS->>S: no unavailable books found
endif
@enduml
```"
llama3.1:8b,1,36,"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution.","```plantuml
@startuml
participant AssetManager as ""Asset Manager""
participant IntellectualValueCalculator as ""Intellectual Value Calculator""
participant Institution as ""Institution""

note right of Institution
  at time of deposit
end note

AssetManager->>IntellectualValueCalculator: Calculate intellectual value
alt Intellectual Value high
  IntellectualValueCalculator->>AssetManager: High value for institutional purposes
else
  IntellectualValueCalculator->>AssetManager: Low value for institutional purposes
endif

note left of AssetManager
  Obtain guidance in evaluation
end note

@enduml
```"
llama3.1:8b,1,37,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","```plantuml
@startuml
participant DAMS_manager as ""You""
participant EventDB as ""Database""

DAMS_manager->EventDB: Get agents responsible for current event
alt Not found
  EventDB-->DAMS_manager: No agents found
else
  EventDB-->DAMS_manager: Agent(s) responsible for the current event
endif

@enduml
```"
llama3.1:8b,1,38,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","```
@startuml
participant Manager as ""DAMS Manager""
participant Database as ""Database System""

Manager->>Database: Get agents for event
alt Event exists in database
  Database-->>Manager: List of agent(s) responsible for event
else Event does not exist in database
  Database-->Manager: Event not found
endif

@enduml
```"
llama3.1:8b,1,39,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","```plantuml
@startuml
participant BrokerApp as ""Broker Application""
participant Database as ""Database""

note right of BrokerApp: Accessing broker app data
alt Valid Request
  note right of Database: Returning valid response
  BrokerApp->>Database: Get Data
  Database-->>BrokerApp: {Data}
else Invalid Request
  note right of Database: Error response
  BrokerApp->>Database: Get Data
  Database-->>BrokerApp: error
endif

@enduml
```"
llama3.1:8b,1,40,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","```plantuml
@startuml
participant BrokerApp as ""Broker App""
participant Database as ""Database""

note right of Database
  contains user data
end note

BrokerApp->>Database: Access Data
activate Database

Database-->BrokerApp: Return Data
deactivate Database

@enduml
```

This sequence diagram shows the interaction between the `Broker Application` and the `Database`, where the application requests access to its data, and the database responds with the required information."
llama3.1:8b,1,41,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","```plantuml
@startuml
participant Agency as ""Agency User""
participant System as ""System""

note left of Agency: Quote surrounding data elements to prevent Excel stripping
Agency->>System: Submit data with quoted values (""0001"", ""00.00"")
alt Leading and trailing zeroes removed by Excel
System-->>Agency: Trimmed value received (1, 0.0)
end alt

note right of System: Data preserved with quotation marks
@enduml
```"
llama3.1:8b,1,42,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","```plantuml
@startuml
participant AgencyUser
participant DataElementProcessor

AgencyUser->DataElementProcessor: Surround data elements with quotation marks
note right of DataElementProcessor: Excel won't strip off leading and trailing zeroes\nwith quotation marks around data elements
@enduml
```

This will generate a sequence diagram showing the interaction between an `AgencyUser` and `DataElementProcessor`, which surrounds data elements with quotation marks to prevent Excel from stripping off leading and trailing zeroes."
llama3.1:8b,1,43,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals.","```plantuml
@startuml
participant ""ALFRED API"" as A
participant ""Developer"" as D

D->A: Call ALFRED API endpoint
A-->D: Return result of operation
note right
API Response includes a unique identifier and a success flag.
end note

D->>A: Use the returned identifier to query for additional data
A-->D: Return the requested data

@enduml
```"
llama3.1:8b,1,44,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","```plantuml
@startuml
participant Admin as A
participant ActivityManager as AM
participant User as U

A->AM: Get user activity
activate AM
AM->>U: Get user ID
deactivate AM

U-->AM: Send activity details
activate AM
AM->>A: Update user activity list
deactivate AM

note right of A: Admin handles all users' activities
@enduml
```"
llama3.1:8b,1,45,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","```plantuml
@startuml
participant Admin as ""Admin""
participant User as ""User""

Admin->>User: Create User
alt Success
  User->>Admin: Login
  Admin->>User: Assign Role
  alt Moderator
    User->>Admin: Post Content
    Admin->>User: Review Post
  end
  alt Moderator or Admin
    User->>Admin: Request Change
    Admin->>User: Approve Change
  end
else Failure
  User->>Admin: Error Handling
end

@enduml
```

This PlantUML code represents a sequence diagram based on the given user story. It includes the roles and interactions between the admin and users, including creation of users, assignment of roles, posting content, requesting changes, and error handling."
llama3.1:8b,1,46,"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data.","```plantuml
@startuml
participant ""Developer"" as d
participant ""Fedora 3"" as f3
participant ""Application"" as a
participant ""Data"" as da
participant ""Fedora 4"" as f4

d->>f3: Backup Fedora 3 data
activate f3
d->>a: Update Application to work with Fedora 4
activate a
d->>da: Migrate Data to Fedora 4 format
activate da
d->>f4: Restore Fedora 3 data into Fedora 4
activate f4
deactivate a
deactivate da
deactivate f3

d->>f4: Configure Fedora 4 settings
activate f4
d->>a: Test Application with Fedora 4
activate a
d->>da: Verify Data integrity in Fedora 4
activate da

note right of d
Upgrade to Fedora 4 and migrate data
@enduml
```"
llama3.1:8b,1,47,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","```plantuml
@startuml
participant Employee as ""You""
participant RoutePlanningSystem as ""RPS""

Employee->>RoutePlanningSystem: Access route planning system
Note right of RPS: Guiding you through the neighbourhood is our top priority!
RoutePlanningSystem-->Employee: Displayed the most efficient route to your destination

@enduml
```"
llama3.1:8b,1,48,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","```plantuml
@startuml
participant Employee as ""You""
participant RoutePlanningSystem

Employee->RoutePlanningSystem: Access the route planning system
Note right of RoutePlanningSystem: You are now navigating your neighbourhood
@enduml
```

This will produce a simple sequence diagram where an employee (labeled as ""You"") interacts with the Route Planning System."
llama3.1:8b,1,49,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","```plantuml
@startuml
participant Admin as ""Zooniverse Admin""
participant API as ""Image Processing API""

Admin->>API: Send image for processing
API->>API: Run feature detection algorithms (floods, damage, shelters, roadblocks)
API->>Admin: Return results with detected features
@enduml
```"
llama3.1:8b,1,50,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","```plantuml
@startuml
participant Admin as ""Zooniverse admin""
participant SatelliteImageProcessor as ""Image processing service""

Admin->>SatelliteImageProcessor: Analyze image for important features
activate SatelliteImageProcessor

SatelliteImageProcessor->>SatelliteImageProcessor: Run object detection algorithm
activate SatelliteImageProcessor

alt Important feature detected
  SatelliteImageProcessor->>Admin: Notify admin of flooding, damage, temporary shelters or blocked roads
else
  SatelliteImageProcessor->>Admin: No important features detected
endif

deactivate SatelliteImageProcessor

@enduml
```
This sequence diagram shows the interaction between the Zooniverse admin and the image processing service. The admin initiates the analysis of a satellite image for important features, which is then processed by the image processing service. If any important features are detected, the service notifies the admin; otherwise, it informs them that no such features were found."
llama3.1:8b,1,51,"As a librarian, I want to delete books from the library.","```plantuml
@startuml
participant Librarian
participant LibrarySystem

Librarian->>LibrarySystem: Delete book
LibrarySystem-->Librarian: Confirm deletion successful
note right of LibrarySystem
  Verify book exists and is not borrowed
end note
@enduml
```

This sequence diagram represents the interaction between a librarian and the library system when deleting books. The librarian initiates the deletion, while the library system confirms the success of the operation and verifies that the book exists and is not currently borrowed."
llama3.1:8b,1,52,"As a librarian, I want to delete books from the library.","```plantuml
@startuml
participant Librarian
participant Database

Librarian ->> Database: Delete book
Database --> Librarian: Book deleted successfully
@enduml
```

This PlantUML code represents a librarian sending a request to delete a book, and the database responding with confirmation of deletion."
llama3.1:8b,1,53,"As an OlderPerson, I want to be able to see my training Performance.","```
@startuml
participant OlderPerson as ""OP""
participant TrainingDataRepository as ""TDR""

OP->>TDR: Get Training Data
TDR-->OP: Return Valid Training Performance Data

@enduml
```"
llama3.1:8b,1,54,"As an OlderPerson, I want to be able to see my training Performance.","```plantuml
@startuml
participant OlderPerson as ""Me""
participant TrainingSystem as ""Training System""

Me->>TrainingSystem: Request performance
TrainingSystem->>Me: Show my performance
@enduml
```

Note: I assume there is a system that provides the training performance data. The above sequence diagram shows how an `OlderPerson` interacts with this system to view their training performance."
llama3.1:8b,1,55,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","```plantuml
@startuml
participant ""Database"" as db
participant ""Agency User""
participant ""Application""

agencyUser->db: Query with many flexfields
alt Flexfields are small
  db->>agencyUser: Return results quickly
else Flexfields are large
  db->>application: Optimize query in Application layer
  application->>db: Execute optimized query
  note right of application: This prevents performance impact on Database
endif

@enduml
```

This PlantUML sequence diagram illustrates the user's scenario, where an Agency User queries a database with many flexfields. If the flexfields are small, the results return quickly. However, if they are large, the Application layer optimizes the query to prevent performance issues in the Database."
llama3.1:8b,1,56,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","```plantuml
@startuml
participant AgencyUser
participant FlexfieldProcessor

AgencyUser->>FlexfieldProcessor: Process Flexfields
activate FlexfieldProcessor
FlexfieldProcessor->>FlexfieldProcessor: Fetch Flexfields from Database
note right: Assuming multiple flexfields are fetched without performance impact
FlexfieldProcessor->>FlexfieldProcessor: Process Each Flexfield
note right: This is the key operation where each flexfield is processed individually
FlexfieldProcessor->>AgencyUser: Return Flexfields to Agency User
deactivate FlexfieldProcessor

@enduml
```"
llama3.1:8b,1,57,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","```plantuml
@startuml
participant Moderator as ""Moderator""
participant Estimator as ""Estimator""

Moderator->>Estimator: Enter agreed-upon estimate
Estimator->>Moderator: Provide entered estimate
Moderator->>Moderator: Review provided estimate
alt Estimate is valid
    Moderator->>Estimator: Accept estimate
    alt Next item needs review
        Moderator->>Estimator: Move to next item for review
    else 
        Moderator->>Estimator: Finish review process
    end
else Estimate is invalid
    Moderator->>Estimator: Request new estimate from Estimator
end

@enduml
```"
llama3.1:8b,1,58,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","```
@startuml
participant Moderator as ""You""
participant TaskList

You->TaskList: Agree on an estimate
TaskList->>You: Display agreed-upon estimate field
You->TaskList: Enter estimated time
TaskList->>You: Validate input (ensure non-negative number)
alt Not valid input
  You->TaskList: Display error message for invalid input
else
  TaskList->>Moderator: Update task with entered estimate
  Moderator->TaskList: Confirm update
  TaskList->>You: Display confirmation of updated estimate
endif

@enduml
```"
llama3.1:8b,1,59,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","```
@startuml
participant Researcher
participant InstitutionalRepository as IR
participant CRIS as C
participant DMP

Researcher->IR: Record publication in IR with DMP record
alt Publication already exists in CRIS
    Researcher->C: Check if publication already recorded in CRIS
    C->IR: If not, transfer record to CRIS
endif
Researcher->DMP: Generate report of research output resulting from a project
@enduml
```"
